kind,stage,layer,count,minimum,maximum,smallest_nonzero,spacing_in_sample,int8_scale,int16_scale,int8_relative_rmse,int16_relative_rmse,fp16_out_of_range_percent,fp8_e4m3_out_of_range_percent,fp8_e5m2_out_of_range_percent,plot
inputs,test,model_input,7840000,0.0,1.0,0.003921569,0.0039215684,0.007874016,3.051851e-05,0.0031503963,1.2210481e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/inputs_test_model_input.png
activations,test,features.0,34560000,-1.0239004,1.2202849,1.4901161e-08,1.4901161e-08,0.009608543,3.7241276e-05,0.014030889,6.475149e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_features_0.png
activations,test,features.1,34560000,0.0,1.2202849,5.9604645e-08,2.9802322e-08,0.009608543,3.7241276e-05,0.01041502,4.8688693e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_features_1.png
activations,test,features.2,8640000,0.0,1.0453126,1.4901161e-08,3.7252903e-09,0.008230808,3.1901385e-05,0.012027196,4.602609e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_features_2.png
activations,test,features.3,10240000,-0.61003757,0.56068367,3.3527613e-08,1.8626451e-09,0.004803445,1.8617437e-05,0.01291594,4.979175e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_features_3.png
activations,test,features.4,10240000,0.0,0.56068367,3.3527613e-08,1.8626451e-09,0.004414832,1.711123e-05,0.012307296,4.771229e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_features_4.png
activations,test,features.5,2560000,0.0,0.4754569,1.7695129e-08,9.313226e-10,0.0037437552,1.4510236e-05,0.012723107,4.9469483e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_features_5.png
activations,test,classifier.0,2560000,0.0,0.4754569,1.7695129e-08,9.313226e-10,0.0037437552,1.4510236e-05,0.012723107,4.9469483e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_classifier_0.png
activations,test,classifier.1,1200000,-0.23413765,0.2930536,4.284084e-08,1.8626451e-09,0.0023075086,8.943559e-06,0.012092369,4.7042675e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_classifier_1.png
activations,test,classifier.2,1200000,0.0,0.2930536,7.636845e-08,1.8626451e-09,0.0023075086,8.943559e-06,0.01199179,4.640207e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_classifier_2.png
activations,test,classifier.3,840000,-0.19533354,0.1811221,8.940697e-08,1.8626451e-09,0.0015380593,5.9612885e-06,0.0073605487,2.8715469e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_classifier_3.png
activations,test,classifier.4,840000,0.0,0.1811221,8.940697e-08,1.8626451e-09,0.0014261582,5.5275764e-06,0.0073785307,2.8842842e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_classifier_4.png
activations,test,classifier.5,100000,-0.066432886,0.09783484,7.962808e-07,9.313226e-10,0.0007703531,2.9857736e-06,0.0045658275,1.766789e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/activations_test_classifier_5.png
output_logits,test,model_output,100000,-0.066432886,0.09783484,7.962808e-07,9.313226e-10,0.0007703531,2.9857736e-06,0.0045658275,1.766789e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/output_logits_test_model_output.png
weights,test,features.0,150,-0.19790986,0.19924048,0.00083360675,1.3779849e-05,0.0015688227,6.0805223e-06,0.0037551087,1.5891863e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/weights_test_features_0.png
bias,test,features.0,6,-0.18268788,0.06667435,0.06392381,0.005074501,0.0014384872,5.5753617e-06,0.0032000807,1.0731572e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/bias_test_features_0.png
weights,test,features.3,2400,-0.08162877,0.081620574,2.7360582e-05,1.1175871e-08,0.0006427462,2.4911883e-06,0.0038823187,1.5059377e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/weights_test_features_3.png
bias,test,features.3,16,-0.068490416,0.07497451,0.0146613885,0.00011303276,0.0005903504,2.2881102e-06,0.0035895829,1.3217657e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/bias_test_features_3.png
weights,test,classifier.1,30720,-0.06249939,0.06249933,2.0936131e-06,7.450581e-09,0.00049212115,1.9073882e-06,0.0039381515,1.5303238e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/weights_test_classifier_1.png
bias,test,classifier.1,120,-0.06069453,0.06041017,0.00037391484,1.05425715e-05,0.0004779097,1.8523066e-06,0.0036990268,1.4103164e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/bias_test_classifier_1.png
weights,test,classifier.3,10080,-0.0912628,0.09128613,4.886139e-06,7.450581e-09,0.0007187884,2.7859166e-06,0.003938633,1.5339088e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/weights_test_classifier_3.png
bias,test,classifier.3,84,-0.09102667,0.08934713,0.00055113254,4.6463683e-06,0.00071674545,2.7779984e-06,0.004010463,1.369318e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/bias_test_classifier_3.png
weights,test,classifier.5,840,-0.108387955,0.10843231,9.778512e-05,2.59839e-07,0.0008537977,3.3091924e-06,0.0039903265,1.5009564e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/weights_test_classifier_5.png
bias,test,classifier.5,10,-0.07164905,0.09197142,0.010059537,0.0044995993,0.0007241844,2.8068307e-06,0.0037525238,1.1376654e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/inference/plots/bias_test_classifier_5.png
