kind,stage,layer,count,minimum,maximum,smallest_nonzero,spacing_in_sample,int8_scale,int16_scale,int8_relative_rmse,int16_relative_rmse,fp16_out_of_range_percent,fp8_e4m3_out_of_range_percent,fp8_e5m2_out_of_range_percent,plot
weights,beginning,conv1,1728,-0.19216467,0.19218537,4.748960691358661e-06,8.940696716308594e-08,0.0015132707,5.8652113e-06,0.003930495,1.526292e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/weights_beginning_conv1.png
weights,beginning,bn1,64,1.0,1.0,1.0,0.0,0.007874016,3.051851e-05,0.0,0.0,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/weights_beginning_bn1.png
bias,beginning,bn1,64,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/bias_beginning_bn1.png
weights,beginning,layer1.0.conv1,36864,-0.23759449,0.2330221,1.6487424545630347e-06,1.862645149230957e-09,0.0018708227,7.2510297e-06,0.00912284,3.5458037e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/weights_beginning_layer1_0_conv1.png
weights,beginning,layer1.0.bn1,64,1.0,1.0,1.0,0.0,0.007874016,3.051851e-05,0.0,0.0,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/weights_beginning_layer1_0_bn1.png
bias,beginning,layer1.0.bn1,64,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/bias_beginning_layer1_0_bn1.png
weights,beginning,layer1.0.conv2,36864,-0.2695183,0.2651146,2.7135329219163395e-06,4.656612873077393e-10,0.0021221912,8.225296e-06,0.010304034,4.006352e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/weights_beginning_layer1_0_conv2.png
weights,beginning,layer1.0.bn2,64,1.0,1.0,1.0,0.0,0.007874016,3.051851e-05,0.0,0.0,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/weights_beginning_layer1_0_bn2.png
bias,beginning,layer1.0.bn2,64,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/bias_beginning_layer1_0_bn2.png
weights,beginning,layer1.1.conv1,36864,-0.24120215,0.22776316,5.842587711413216e-07,1.3969838619232178e-09,0.0018992295,7.36113e-06,0.009348475,3.6195717e-05,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/weights_beginning_layer1_1_conv1.png
weights,beginning,layer1.1.bn1,64,1.0,1.0,1.0,0.0,0.007874016,3.051851e-05,0.0,0.0,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/weights_beginning_layer1_1_bn1.png
