input,operation,format,mean_error,maximum_error,samples
float32,conversion,LNS8,0.9795185738568618,1.0,1009
float32,conversion,LNS16,0.0026566530057905917,1.0,1009
float32,addition,LNS8,0.9916754594991642,1.0,1009
float32,addition,LNS16,0.00784964469321954,1.0,1009
float32,multiplication,LNS8,0.9970044314371453,1.0,1009
float32,multiplication,LNS16,0.0038644001333833517,1.0,1009
float32,mac,LNS8,0.9949581389913819,1.0,1009
float32,mac,LNS16,0.0028899066568139078,0.9999999999999922,1009
float16,conversion,LNS8,0.025978101099184824,1.0,1009
float16,conversion,LNS16,0.0006739038239038492,0.0013522310161557638,1009
float16,addition,LNS8,0.10613280830693593,8.513656920021768,1009
float16,addition,LNS16,0.006682590592924964,1.0,1009
float16,multiplication,LNS8,0.7457686463429791,1.0,1006
float16,multiplication,LNS16,0.0009691893260662769,0.01181733101111792,1006
float16,mac,LNS8,0.7636483290653703,1.0,1006
float16,mac,LNS16,0.0012068234589067816,0.01127869914757777,1006
